                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.74708,                0.42483,                  1.045,                0.96684,                0.99659,                  0.995,                 0.7876,                0.87564,                 0.3504,                 1.2347,              0.0010142,              0.0010142,              0.0010142
                     91,                 0.7133,                0.44501,                 1.0254,                0.92038,                0.97854,                0.97126,                0.75065,                0.91696,                0.42285,                 1.2585,              0.0010131,              0.0010131,              0.0010131
                     92,                0.75272,                0.43894,                 1.0564,                0.94536,                0.86954,                0.93147,                0.73053,                0.92415,                0.38498,                 1.2646,               0.001012,               0.001012,               0.001012
                     93,                0.72729,                0.42512,                 1.0413,                0.89124,                0.96149,                0.99172,                0.78124,                0.87772,                0.41202,                 1.2594,              0.0010109,              0.0010109,              0.0010109
                     94,                0.71923,                0.46151,                 1.0413,                 0.9656,                0.90126,                0.99211,                0.78149,                0.88561,                0.43902,                 1.2525,              0.0010098,              0.0010098,              0.0010098
                     95,                0.67706,                0.41019,                 1.0012,                0.98348,                0.99493,                  0.995,                0.79847,                0.86209,                0.35064,                 1.2397,              0.0010087,              0.0010087,              0.0010087
                     96,                0.72318,                0.42878,                 1.0456,                0.94124,                0.89002,                0.93461,                0.73738,                0.89017,                 0.3881,                 1.2427,              0.0010076,              0.0010076,              0.0010076
                     97,                0.73169,                0.45472,                 1.0376,                0.98176,                 0.9984,                  0.995,                0.76137,                0.90766,                0.37075,                 1.2595,              0.0010065,              0.0010065,              0.0010065
                     98,                0.73923,                0.44672,                 1.0456,                0.89744,                0.93775,                0.90885,                0.69631,                0.91804,                0.46764,                 1.2725,              0.0010054,              0.0010054,              0.0010054
                     99,                 0.7413,                0.44218,                 1.0511,                 0.8431,                0.94147,                0.87587,                0.68396,                0.88548,                0.58943,                  1.247,              0.0010043,              0.0010043,              0.0010043
